"372,578",Beast Industries Co. - Series C Preferred Stock(a)(b)(c),10/28/25,"15,299,990","14,999,990"
"1,311","Discord, Inc. - Series G Preferred Stock(a)(b)(c)",03/01/22,"889,055","363,199"
Total Preferred Stocks,"45,091,718","42,555,604"
"11,236","DXYZ OAI I LLC (economic exposure to OpenAI Global LLC, Profit Participation Units)(a)(b)(c)(g)",12/18/23,"2,010,008","9,028,126"
"198,780","Snowpoint Growth 2.6, LLC (invested in X.AI Corp. Series E Preferred Stock)(a)(b)(c)(f)",12/17/25,"15,397,438","14,999,939"
"59,448",SP21Z Opportunities LLC (invested in OpenEvidence Inc. Common Stock)(a)(b)(c)(f),11/17/25,"15,424,942","14,999,943"
"135,135","DXYZ SpaceX I LLC (economic exposure to Space Exploration Technologies Corp., 96% Common unit equivalent shares and Common Stock, 3% Series E Preferred Shares, and 1% in Series C preferred shares)(a)(b)(c)(g)(i)",06/27/22,"10,009,990","54,499,946"
"42,857","MWAM VC SpaceX-II, LLC (economic exposure to Space Exploration Technologies Corp., 55% Class A Common Stock and 45% Class C Common Stock)(a)(b)(c)(g)(h)",06/08/22,"3,419,945","15,885,804"
887,"MW LSV Relativity Space, LLC (invested in Relativity Space, Inc., 71% Series C Preferred Stock, 17% Class A Common Stock; economic exposure to 6% Class A Common Stock, 6% Series E Preferred Stock)(a)(c)(f)(j)",12/28/21,"1,659,996","1,165,336"
"192,668","Snowpoint Growth 2.5, LLC (invested in Shield AI Inc. Series F1 Preferred Stock)(a)(b)(c)(f)",10/03/25,"16,162,500","17,871,884"
"39,474","DA-1125 Gaingels Fund II (invested in Databricks, Inc. Series L Preferred Stock)(a)(b)(c)(f)",12/11/25,"7,687,562","7,500,060"
"52,632","MCTC Investments Holdings (Delaware) LLC (invested in Databricks, Inc. Series L Preferred Stock)(a)(b)(c)(f)",12/15/25,"10,750,086","10,000,080"
Units/ Shares,Security,AcquisitionDate,Cost,Fair Value
"49,075","Fund FG-RTA, a series of Forge Investments LLC (economic exposure to Stripe, Inc., Common Stock)(a)(b)(c)(e)",01/10/22,$,"3,478,813",$,"2,650,541"
"1,540","Fund FG-TQY, a series of Forge Investments LLC (economic exposure to Plaid, Inc., Common Stock)(a)(b)(c)(e)",02/15/22,"1,110,340","364,210"
N/A,"G Squared Special Situations Fund, LLC - Series H-1 (invested in Brex, Inc., Common Stock)(a)(b)(c)(f)",03/02/22,"4,130,298","1,372,833"
"306,480","Lemonade 18, LLC (invested in Monzo Bank Holding Group Limited F Ordinary Shares)(a)(b)(c)(f)",09/23/25,"6,263,595","6,201,581"
N/A,"Rhenium Bolt 2021, LLC(a)(b)(c)(k)",03/08/22,"1,918,173",—
N/A,"Khosla Ventures IFSPV II, LLC (invested in Impossible Foods, Inc., Series H Preferred Stock)(a)(b)(c)(f)",11/04/21,"2,098,940","141,556"
"4,946","MWLSV Epic Games-II, LLC (invested in Epic Games, Inc., Common Stock)(a)(b)(c)(f)",12/31/21,"6,998,590","2,202,948"
Total Special Purpose Vehicles,"108,521,216","158,884,787"
Total Private Investments,"176,824,057","225,440,159"
"200,873,326","First American Treasury Obligations, Class X, 3.59%(d)",05/08/23,"200,873,326","200,873,326"
Total Short-Term Investments,"200,873,326","200,873,326"
"Total Investments, at fair value — 97.91%(Cost $387,505,791)",$,"428,897,451"
Net Assets - 100.00%,$,"438,044,192"
Common Stocks,$,"23,086,686",$,"13,077,927"
Preferred Stocks,"45,091,718","42,555,604"
Special Purpose Vehicles,"108,521,216","158,884,787"
Money Market,"200,873,326","200,873,326"
Total United States,$,"377,572,946",$,"415,391,644"
Common Stocks,"9,932,845","13,505,807"
Total United Kingdom,$,"9,932,845",$,"13,505,807"
